entry_time,exit_time,entry_index,exit_index,reason,gross,net,equity,cum_max,drawdown
2025-12-03 12:32:00,2025-12-03 12:37:00,25946.150390625,25933.150390625,TIME_PROFIT,1462.5,1377.5,2405.5810546875,4519.462890625,2113.8818359375
2025-12-04 10:49:00,2025-12-04 10:54:00,26084.75,26078.55078125,TIME,697.412109375,612.412109375,3017.9931640625,4519.462890625,1501.4697265625
2025-12-04 10:54:00,2025-12-04 10:59:00,26078.55078125,26075.599609375,TIME,332.0068359375,247.0068359375,3265.0,4519.462890625,1254.462890625
2025-12-04 10:59:00,2025-12-04 11:03:00,26075.599609375,26084.599609375,SL,-1012.5,-1097.5,2167.5,4519.462890625,2351.962890625
2025-12-04 11:03:00,2025-12-04 11:08:00,26083.099609375,26077.849609375,TIME,590.625,505.625,2673.125,4519.462890625,1846.337890625
2025-12-04 11:08:00,2025-12-04 11:13:00,26077.849609375,26072.0,TIME,658.0810546875,573.0810546875,3246.2060546875,4519.462890625,1273.2568359375
2025-12-04 11:13:00,2025-12-04 11:18:00,26072.0,26068.150390625,TIME,433.0810546875,348.0810546875,3594.287109375,4519.462890625,925.17578125
2025-12-04 11:19:00,2025-12-04 11:24:00,26071.19921875,26064.400390625,TIME,764.8681640625,679.8681640625,4274.1552734375,4519.462890625,245.3076171875
2025-12-04 11:24:00,2025-12-04 11:29:00,26064.400390625,26060.75,TIME,410.6689453125,325.6689453125,4599.82421875,4599.82421875,0.0
2025-12-04 11:29:00,2025-12-04 11:34:00,26060.75,26060.94921875,TIME,-22.412109375,-107.412109375,4492.412109375,4599.82421875,107.412109375
2025-12-04 11:34:00,2025-12-04 11:38:00,26060.94921875,26042.94921875,TP,2025.0,1940.0,6432.412109375,6432.412109375,0.0
2025-12-04 12:06:00,2025-12-04 12:11:00,26035.94921875,26024.099609375,TIME,1333.0810546875,1248.0810546875,7680.4931640625,7680.4931640625,0.0
2025-12-04 12:23:00,2025-12-04 12:28:00,26017.30078125,26026.30078125,SL,-1012.5,-1097.5,6582.9931640625,7680.4931640625,1097.5
2025-12-04 12:28:00,2025-12-04 12:33:00,26029.05078125,26029.25,TIME,-22.412109375,-107.412109375,6475.5810546875,7680.4931640625,1204.912109375
2025-12-04 12:33:00,2025-12-04 12:38:00,26029.25,26027.44921875,TIME,202.587890625,117.587890625,6593.1689453125,7680.4931640625,1087.32421875
2025-12-05 11:34:00,2025-12-05 11:39:00,26131.099609375,26134.400390625,TIME,-371.337890625,-456.337890625,6136.8310546875,7680.4931640625,1543.662109375
2025-12-05 11:39:00,2025-12-05 11:44:00,26134.400390625,26141.599609375,TIME,-809.912109375,-894.912109375,5241.9189453125,7680.4931640625,2438.57421875
2025-12-05 12:00:00,2025-12-05 12:05:00,26136.349609375,26145.349609375,SL,-1012.5,-1097.5,4144.4189453125,7680.4931640625,3536.07421875
2025-12-05 12:16:00,2025-12-05 12:21:00,26136.849609375,26145.849609375,SL,-1012.5,-1097.5,3046.9189453125,7680.4931640625,4633.57421875
2025-12-08 10:31:00,2025-12-08 10:36:00,26092.55078125,26085.650390625,TIME,776.2939453125,691.2939453125,3738.212890625,7680.4931640625,3942.2802734375
2025-12-08 10:45:00,2025-12-08 10:50:00,26100.80078125,26082.80078125,TP,2025.0,1940.0,5678.212890625,7680.4931640625,2002.2802734375
2025-12-08 10:50:00,2025-12-08 10:53:00,26082.5,26091.5,SL,-1012.5,-1097.5,4580.712890625,7680.4931640625,3099.7802734375
2025-12-08 10:53:00,2025-12-08 10:58:00,26092.0,26079.0,TIME_PROFIT,1462.5,1377.5,5958.212890625,7680.4931640625,1722.2802734375
2025-12-08 10:58:00,2025-12-08 11:03:00,26077.05078125,26064.05078125,TIME_PROFIT,1462.5,1377.5,7335.712890625,7680.4931640625,344.7802734375
2025-12-08 11:03:00,2025-12-08 11:08:00,26064.599609375,26058.69921875,TIME,663.7939453125,578.7939453125,7914.5068359375,7914.5068359375,0.0
2025-12-08 11:09:00,2025-12-08 11:10:00,26063.30078125,26072.30078125,SL,-1012.5,-1097.5,6817.0068359375,7914.5068359375,1097.5
2025-12-08 11:23:00,2025-12-08 11:28:00,26072.19921875,26070.599609375,TIME,179.9560546875,94.9560546875,6911.962890625,7914.5068359375,1002.5439453125
2025-12-08 11:28:00,2025-12-08 11:33:00,26070.599609375,26062.75,TIME,883.0810546875,798.0810546875,7710.0439453125,7914.5068359375,204.462890625
2025-12-08 11:33:00,2025-12-08 11:38:00,26062.75,26059.5,TIME,365.625,280.625,7990.6689453125,7990.6689453125,0.0
2025-12-08 11:54:00,2025-12-08 11:59:00,26061.900390625,26059.400390625,TIME,281.25,196.25,8186.9189453125,8186.9189453125,0.0
2025-12-08 11:59:00,2025-12-08 12:04:00,26059.400390625,26046.400390625,TIME_PROFIT,1462.5,1377.5,9564.4189453125,9564.4189453125,0.0
